inx,country,countryCoded,degree,degreeCoded,eng,engCoded,fieldGroup,fund,gpaBachelors,gpaMasters,gre,highLevelBachUni,highLevelMasterUni,papersGLOB,papersIRAN,targetUni,uniRank,year
75,united states,0,Doctorate,1,High,1,11,TRUE,3.5,3,TRUE,FALSE,TRUE,5,2,iowa,-1,2008
76,canada,1,Doctorate,1,High,1,5,TRUE,3,3,TRUE,TRUE,TRUE,0,0,mcgill,-1,2008
77,singapore,5,Masters,0,High,1,0,FALSE,3,3.442985691,FALSE,TRUE,FALSE,1,3,national  singapore,-1,2009
78,united states,0,Doctorate,1,High,1,0,TRUE,3,4,FALSE,TRUE,TRUE,1,1,catolica de la santísima concepción,-1,2008
79,canada,1,Doctorate,1,Medium,2,11,TRUE,3,3.5,TRUE,FALSE,TRUE,5,2,simon fraser,-1,2008
80,united states,0,Doctorate,1,VeryHigh,0,0,TRUE,3.5,3.5,FALSE,TRUE,TRUE,6,0,cambodia,-1,2000
81,n/a,0,Doctorate,1,VeryHigh,0,0,TRUE,2,3.5,TRUE,TRUE,TRUE,1,1,canadian mennonite,-1,2008
82,united states,0,Masters,0,VeryHigh,0,4,TRUE,2.5,3.442985691,TRUE,TRUE,FALSE,0,0,akron,-1,2008
83,united states,0,Doctorate,1,High,1,1,TRUE,3,4,TRUE,TRUE,TRUE,2,2,ulster,-1,2008
84,finland,2,Masters,0,High,1,0,FALSE,2,3.442985691,FALSE,FALSE,FALSE,1,0,helsinki,-1,2009
86,canada,1,Doctorate,1,VeryHigh,0,10,TRUE,2.5,3,TRUE,TRUE,TRUE,1,0,mcgill,-1,2008
87,sweden,2,Masters,0,High,1,11,FALSE,2,3.442985691,TRUE,FALSE,FALSE,4,0,chalmers,-1,2008
88,united states,0,Doctorate,1,High,1,0,TRUE,2.5,3.5,TRUE,FALSE,FALSE,1,2,arizona,-1,2008
90,united states,0,Doctorate,1,VeryHigh,0,0,FALSE,2,2.5,TRUE,TRUE,TRUE,0,1,north carolina state,-1,2008
91,sweden,2,Masters,0,Medium,2,11,FALSE,2,3.442985691,TRUE,FALSE,FALSE,1,0,michigan technological,-1,2007
92,sweden,2,Masters,0,High,1,11,FALSE,2.5,3.442985691,TRUE,TRUE,FALSE,3,0,royal lnstitute of,-1,2008
93,netherlands,4,Doctorate,1,High,1,8,TRUE,3,3.5,TRUE,FALSE,TRUE,3,5,utrecht,-1,2008
94,united states,0,Doctorate,1,Medium,2,11,TRUE,3,3.5,TRUE,TRUE,TRUE,4,0,virginia state,-1,2008
95,canada,1,Doctorate,1,VeryHigh,0,11,TRUE,3,3,TRUE,TRUE,TRUE,2,0,virginia polytechnic institutestate  (virginia tech),-1,2008
98,united states,0,Doctorate,1,High,1,4,TRUE,3,4,TRUE,TRUE,TRUE,2,0,city  new york (cuny) system,-1,2008
